assign_seconds,build_seconds,combined_score_lower_is_better,composite_score,compressed_bytes,corpus,coverage_entropy,dataset,delay_minutes,detected_in_labeled_window,false_positives_before_first_window,field,imbalance_k2,input_bytes,k1,k2,locality_k2,mean_residual,method,min_grid_coverage,movement,n,ratio,roundtrip_ok,runtime_seconds,selected_count,suite,threshold,top_recall,windows
,,,,,,,NAB ambient_temperature_system_failure,,False,0,,,,,,,,rdt_signed_shell,,,,,,,,real_nab_drift,0.5384397051816143,,2
,,,,,,,NAB ambient_temperature_system_failure,,False,0,,,,,,,,histogram_js,,,,,,,,real_nab_drift,0.568950345894701,,2
,,,,,,,NAB ambient_temperature_system_failure,,False,0,,,,,,,,mean_std,,,,,,,,real_nab_drift,4.3875281649580655,,2
,,,,,,,NAB ambient_temperature_system_failure,,False,0,,,,,,,,entropy_delta,,,,,,,,real_nab_drift,1.0310558434143695,,2
,,,,53577,gutenberg_alice_txt,,,,,,,,151191,,,,,zlib,,,,2.821938518394087,True,0.006101666978793219,,real_codec,,,
,,,,42743,gutenberg_alice_txt,,,,,,,,151191,,,,,bz2,,,,3.5372107713543737,True,0.010748959000920877,,real_codec,,,
,,,,47636,gutenberg_alice_txt,,,,,,,,151191,,,,,lzma,,,,3.173881098328995,True,0.03304487498826347,,real_codec,,,
,,,,65492,gutenberg_alice_txt,,,,,,,,151191,,,,,rdt_delta_zlib,,,,2.308541501252061,True,0.01822745901881717,,real_codec,,,
,,,,53583,gutenberg_alice_txt,,,,,,,,151191,,,,,adaptive_rdt_zlib,,,,2.8216225295336206,True,0.016543417004868388,,real_codec,,,
,,,,60331,nab_ambient_temperature_csv,,,,,,,,233321,,,,,zlib,,,,3.867348460990204,True,0.006990041001699865,,real_codec,,,
,,,,46505,nab_ambient_temperature_csv,,,,,,,,233321,,,,,bz2,,,,5.017116439092571,True,0.012643125024624169,,real_codec,,,
,,,,42376,nab_ambient_temperature_csv,,,,,,,,233321,,,,,lzma,,,,5.505970360581461,True,0.04221112502273172,,real_codec,,,
,,,,70480,nab_ambient_temperature_csv,,,,,,,,233321,,,,,rdt_delta_zlib,,,,3.310456867196368,True,0.026602875004755333,,real_codec,,,
,,,,60337,nab_ambient_temperature_csv,,,,,,,,233321,,,,,adaptive_rdt_zlib,,,,3.8669638861726634,True,0.021796541986986995,,real_codec,,,
,,,,106959,california_housing_numeric_csv,,,,,,,,639866,,,,,zlib,,,,5.982348376480708,True,0.018534083996200934,,real_codec,,,
,,,,79092,california_housing_numeric_csv,,,,,,,,639866,,,,,bz2,,,,8.090148181864159,True,0.03565912498743273,,real_codec,,,
,,,,67752,california_housing_numeric_csv,,,,,,,,639866,,,,,lzma,,,,9.444237808477979,True,0.18593520898139104,,real_codec,,,
,,,,123360,california_housing_numeric_csv,,,,,,,,639866,,,,,rdt_delta_zlib,,,,5.186981193255512,True,0.06931295798858628,,real_codec,,,
,,,,106965,california_housing_numeric_csv,,,,,,,,639866,,,,,adaptive_rdt_zlib,,,,5.982012807927827,True,0.056932083010906354,,real_codec,,,
