assign_seconds,budget,build_seconds,centered_discrepancy,combined_score_lower_is_better,composite_score,compressed_bytes,corpus,coverage_entropy,dataset,detected,detection_delay,discovered_bug_classes,false_positive_rate,field,imbalance_k2,input_bytes,k1,k2,locality_k2,mean_residual,method,min_grid_coverage,min_pairwise_distance,movement,n,ratio,roundtrip_ok,runtime_seconds,scenario,seed,selected_count,suite,threshold,top_recall,total_hits
0.0001235830131918192,,0.014528416999382898,,0.20049799324380096,,,,,uniform,,,,,,1.25,,16,20,0.056662207208446586,,rdt_stable,,,0.125,20000,,,,,0,,stable_partition,,,
0.003620540985139087,,0.0,,1.2557156112045718,,,,,uniform,,,,,,1.053,,16,20,0.9985902471212706,,modulo_hash,,,0.79575,20000,,,,,0,,stable_partition,,,
0.03848508300143294,,0.0,,0.6578325376121709,,,,,uniform,,,,,,1.036,,16,20,0.9994056391381576,,jump_hash,,,0.2009,20000,,,,,0,,stable_partition,,,
0.48252900000079535,,0.0,,0.6583528758554945,,,,,uniform,,,,,,1.051,,16,20,0.9990063907899878,,rendezvous_hash,,,0.1986,20000,,,,,0,,stable_partition,,,
0.0017451659950893372,,0.0,,0.911129631468424,,,,,uniform,,,,,,1.054,,16,20,0.05139918104094222,,grid,,,0.8772,20000,,,,,0,,stable_partition,,,
0.004907833004835993,,0.0,,0.9277294130175585,,,,,uniform,,,,,,1.0,,16,20,0.11717647337235228,,morton_sort,,,0.875,20000,,,,,0,,stable_partition,,,
0.007471290999092162,,0.0,,1.0884626066882666,,,,,uniform,,,,,,1.0,,16,20,0.47436134819614767,,principal_sort,,,0.875,20000,,,,,0,,stable_partition,,,
9.937499999068677e-05,,0.013715292006963864,,0.19005782363447404,,,,,uniform,,,,,,1.25,,32,40,0.03301738585438669,,rdt_stable,,,0.1252,20000,,,,,0,,stable_partition,,,
0.003924625023500994,,0.0,,1.266556554099506,,,,,uniform,,,,,,1.1,,32,40,0.9980145646655691,,modulo_hash,,,0.79745,20000,,,,,0,,stable_partition,,,
0.04370762500911951,,0.0,,0.6658497074038252,,,,,uniform,,,,,,1.088,,32,40,0.9982215720085004,,jump_hash,,,0.19905,20000,,,,,0,,stable_partition,,,
0.9034925840096548,,0.0,,0.6687961247766622,,,,,uniform,,,,,,1.096,,32,40,0.9977691661703604,,rendezvous_hash,,,0.2006,20000,,,,,0,,stable_partition,,,
0.0016882919881027192,,0.0,,1.2777874159356188,,,,,uniform,,,,,,2.73,,32,40,0.02974981319026398,,grid,,,0.9184,20000,,,,,0,,stable_partition,,,
0.0041744580084923655,,0.0,,0.9707180459608163,,,,,uniform,,,,,,1.0,,32,40,0.0738178799129253,,morton_sort,,,0.9375,20000,,,,,0,,stable_partition,,,
0.0038607910100836307,,0.0,,1.1493997904141855,,,,,uniform,,,,,,1.0,,32,40,0.4708884231426342,,principal_sort,,,0.9375,20000,,,,,0,,stable_partition,,,
0.00011820800136774778,,0.014468042005319148,,0.18196596884615682,,,,,uniform,,,,,,1.252,,64,80,0.014035486324792953,,rdt_stable,,,0.12525,20000,,,,,0,,stable_partition,,,
0.0037201249797362834,,0.0,,1.283723060709955,,,,,uniform,,,,,,1.184,,64,80,0.9962734682443449,,modulo_hash,,,0.7986,20000,,,,,0,,stable_partition,,,
0.05050408298848197,,0.0,,0.6764551074535156,,,,,uniform,,,,,,1.124,,64,80,0.9959002387855901,,jump_hash,,,0.2035,20000,,,,,0,,stable_partition,,,
1.788302291999571,,0.0,,0.6822937045289912,,,,,uniform,,,,,,1.152,,64,80,0.9958748989533137,,rendezvous_hash,,,0.20375,20000,,,,,0,,stable_partition,,,
0.0016753750096540898,,0.0,,1.0968028558112428,,,,,uniform,,,,,,1.732,,64,80,0.012784124024984182,,grid,,,0.94465,20000,,,,,0,,stable_partition,,,
0.004199374991003424,,0.0,,0.9922873757041747,,,,,uniform,,,,,,1.0,,64,80,0.05219416823149941,,morton_sort,,,0.9688,20000,,,,,0,,stable_partition,,,
0.0039493330114055425,,0.0,,1.180006991303214,,,,,uniform,,,,,,1.0,,64,80,0.46934886956269795,,principal_sort,,,0.9688,20000,,,,,0,,stable_partition,,,
8.800000068731606e-05,,0.012970958021469414,,0.2516925913684997,,,,,clustered,,,,,,1.25,,16,20,0.0315390919299993,,rdt_stable,,,0.1875,20000,,,,,0,,stable_partition,,,
0.003632959007518366,,0.0,,1.2559632046898148,,,,,clustered,,,,,,1.053,,16,20,0.9991404548662552,,modulo_hash,,,0.79575,20000,,,,,0,,stable_partition,,,
0.037551790999714285,,0.0,,0.6577088976502237,,,,,clustered,,,,,,1.036,,16,20,0.9991308836671636,,jump_hash,,,0.2009,20000,,,,,0,,stable_partition,,,
0.45790879102423787,,0.0,,0.6585102158252703,,,,,clustered,,,,,,1.051,,16,20,0.9993560351672673,,rendezvous_hash,,,0.1986,20000,,,,,0,,stable_partition,,,
0.001674708997597918,,0.0,,1.4545506707181715,,,,,clustered,,,,,,4.2653,,16,20,0.021979268262603213,,grid,,,0.7916,20000,,,,,0,,stable_partition,,,
0.0041556670039426535,,0.0,,0.9023817056119469,,,,,clustered,,,,,,1.0,,16,20,0.060848234693215306,,morton_sort,,,0.875,20000,,,,,0,,stable_partition,,,
0.003850292006973177,,0.0,,0.9071871210370775,,,,,clustered,,,,,,1.0,,16,20,0.07152693563795004,,principal_sort,,,0.875,20000,,,,,0,,stable_partition,,,
9.304200648330152e-05,,0.013226709008449689,,0.21165827304724416,,,,,clustered,,,,,,1.25,,32,40,0.011907273438320378,,rdt_stable,,,0.1563,20000,,,,,0,,stable_partition,,,
0.0037467920046765357,,0.0,,1.2666766363595927,,,,,clustered,,,,,,1.1,,32,40,0.9982814141324283,,modulo_hash,,,0.79745,20000,,,,,0,,stable_partition,,,
0.044148041983135045,,0.0,,0.6655906483167958,,,,,clustered,,,,,,1.088,,32,40,0.997645885148435,,jump_hash,,,0.19905,20000,,,,,0,,stable_partition,,,
0.9075316670059692,,0.0,,0.6692074466943388,,,,,clustered,,,,,,1.096,,32,40,0.9986832148763086,,rendezvous_hash,,,0.2006,20000,,,,,0,,stable_partition,,,
0.0016793749819044024,,0.0,,1.9190608855218996,,,,,clustered,,,,,,5.9427,,32,40,0.01671307893755441,,grid,,,0.923,20000,,,,,0,,stable_partition,,,
0.004163707984844223,,0.0,,0.9517205486461128,,,,,clustered,,,,,,1.0,,32,40,0.03160121921358403,,morton_sort,,,0.9375,20000,,,,,0,,stable_partition,,,
0.0038907919952180237,,0.0,,0.9603604753118911,,,,,clustered,,,,,,1.0,,32,40,0.050801056248646725,,principal_sort,,,0.9375,20000,,,,,0,,stable_partition,,,
0.00012737500946968794,,0.014032375009264797,,0.43573590680703406,,,,,clustered,,,,,,2.5,,64,80,0.006190904015631088,,rdt_stable,,,0.13295,20000,,,,,0,,stable_partition,,,
0.003636249981354922,,0.0,,1.2837194659287492,,,,,clustered,,,,,,1.184,,64,80,0.9962654798416649,,modulo_hash,,,0.7986,20000,,,,,0,,stable_partition,,,
0.04988470798707567,,0.0,,0.6762958269873847,,,,,clustered,,,,,,1.124,,64,80,0.9955462821941882,,jump_hash,,,0.2035,20000,,,,,0,,stable_partition,,,
1.7878320410090964,,0.0,,0.6826814408303117,,,,,clustered,,,,,,1.152,,64,80,0.9967365351784706,,rendezvous_hash,,,0.20375,20000,,,,,0,,stable_partition,,,
0.0016690840129740536,,0.0,,2.002694665130108,,,,,clustered,,,,,,6.0575,,64,80,0.01098814473357259,,grid,,,0.98625,20000,,,,,0,,stable_partition,,,
0.004307832976337522,,0.0,,0.9773006796577568,,,,,clustered,,,,,,1.0,,64,80,0.018890399239459645,,morton_sort,,,0.9688,20000,,,,,0,,stable_partition,,,
0.004055875004269183,,0.0,,0.9885909349166909,,,,,clustered,,,,,,1.0,,64,80,0.04397985537042432,,principal_sort,,,0.9688,20000,,,,,0,,stable_partition,,,
8.095800876617432e-05,,0.013280791987199336,,0.17789049953800484,,,,,diagonal,,,,,,1.25,,16,20,0.00642333230667742,,rdt_stable,,,0.125,20000,,,,,0,,stable_partition,,,
0.00381241602008231,,0.0,,1.255943835956911,,,,,diagonal,,,,,,1.053,,16,20,0.9990974132375805,,modulo_hash,,,0.79575,20000,,,,,0,,stable_partition,,,
0.037188791000517085,,0.0,,0.6578732203100759,,,,,diagonal,,,,,,1.036,,16,20,0.9994960451335021,,jump_hash,,,0.2009,20000,,,,,0,,stable_partition,,,
0.4563391660049092,,0.0,,0.6582972474672144,,,,,diagonal,,,,,,1.051,,16,20,0.9988827721493653,,rendezvous_hash,,,0.1986,20000,,,,,0,,stable_partition,,,
0.0017437500064261258,,0.0,,1.0077099284457245,,,,,diagonal,,,,,,2.009,,16,20,0.028577618768276837,,grid,,,0.79305,20000,,,,,0,,stable_partition,,,
0.004200166993541643,,0.0,,0.8771512529611599,,,,,diagonal,,,,,,1.0,,16,20,0.004780562135911007,,morton_sort,,,0.875,20000,,,,,0,,stable_partition,,,
0.003741499996976927,,0.0,,0.8769689792984885,,,,,diagonal,,,,,,1.0,,16,20,0.004375509552196666,,principal_sort,,,0.875,20000,,,,,0,,stable_partition,,,
9.733400656841695e-05,,0.013285041000926867,,0.17663932902582985,,,,,diagonal,,,,,,1.25,,32,40,0.0031985089462885723,,rdt_stable,,,0.1252,20000,,,,,0,,stable_partition,,,
0.003606334008509293,,0.0,,1.266465878905795,,,,,diagonal,,,,,,1.1,,32,40,0.9978130642350999,,modulo_hash,,,0.79745,20000,,,,,0,,stable_partition,,,
0.043554917006986216,,0.0,,0.6659588765198956,,,,,diagonal,,,,,,1.088,,32,40,0.9984641700442122,,jump_hash,,,0.19905,20000,,,,,0,,stable_partition,,,
0.9065364170237444,,0.0,,0.668838997174289,,,,,diagonal,,,,,,1.096,,32,40,0.9978644381650865,,rendezvous_hash,,,0.2006,20000,,,,,0,,stable_partition,,,
0.002001874992856756,,0.0,,1.1519145987898598,,,,,diagonal,,,,,,2.47125,,32,40,0.01658799731079966,,grid,,,0.8502,20000,,,,,0,,stable_partition,,,
0.004276791005395353,,0.0,,0.9387923757549441,,,,,diagonal,,,,,,1.0,,32,40,0.002871946122098014,,morton_sort,,,0.9375,20000,,,,,0,,stable_partition,,,
0.003974040999310091,,0.0,,0.9386196113522152,,,,,diagonal,,,,,,1.0,,32,40,0.00248802522714471,,principal_sort,,,0.9375,20000,,,,,0,,stable_partition,,,
0.00011941598495468497,,0.014433000003919005,,0.1763837526213143,,,,,diagonal,,,,,,1.252,,64,80,0.0017416724918095782,,rdt_stable,,,0.1252,20000,,,,,0,,stable_partition,,,
0.0037247909931465983,,0.0,,1.2834292213540959,,,,,diagonal,,,,,,1.184,,64,80,0.9956204918979913,,modulo_hash,,,0.7986,20000,,,,,0,,stable_partition,,,
0.05013716602115892,,0.0,,0.6765357941773341,,,,,diagonal,,,,,,1.124,,64,80,0.9960795426162978,,jump_hash,,,0.2035,20000,,,,,0,,stable_partition,,,
1.790689540997846,,0.0,,0.6824572962672084,,,,,diagonal,,,,,,1.152,,64,80,0.996238436149352,,rendezvous_hash,,,0.20375,20000,,,,,0,,stable_partition,,,
0.0016762919840402901,,0.0,,1.2380853558882647,,,,,diagonal,,,,,,2.6975,,64,80,0.009856346418366309,,grid,,,0.89415,20000,,,,,0,,stable_partition,,,
0.004273667000234127,,0.0,,0.9697248328934795,,,,,diagonal,,,,,,1.0,,64,80,0.002055184207732351,,morton_sort,,,0.9688,20000,,,,,0,,stable_partition,,,
0.004031249991385266,,0.0,,0.9697031445162241,,,,,diagonal,,,,,,1.0,,64,80,0.002006987813831249,,principal_sort,,,0.9688,20000,,,,,0,,stable_partition,,,
8.008399163372815e-05,,0.01338045799639076,,0.448199270326046,,,,,hotspot_tail,,,,,,2.5,,16,20,0.05155393405787989,,rdt_stable,,,0.125,20000,,,,,0,,stable_partition,,,
0.004137457988690585,,0.0,,1.2558920347683904,,,,,hotspot_tail,,,,,,1.053,,16,20,0.998982299485312,,modulo_hash,,,0.79575,20000,,,,,0,,stable_partition,,,
0.03751924997777678,,0.0,,0.6578211182411341,,,,,hotspot_tail,,,,,,1.036,,16,20,0.9993802627580757,,jump_hash,,,0.2009,20000,,,,,0,,stable_partition,,,
0.45605633297236636,,0.0,,0.6583148669043872,,,,,hotspot_tail,,,,,,1.051,,16,20,0.9989219264541939,,rendezvous_hash,,,0.1986,20000,,,,,0,,stable_partition,,,
0.001708374998997897,,0.0,,1.9069238480863655,,,,,hotspot_tail,,,,,,6.211,,16,20,0.04071966241414514,,grid,,,0.8464,20000,,,,,0,,stable_partition,,,
0.004180040996288881,,0.0,,0.9418710352032994,,,,,hotspot_tail,,,,,,1.0,,16,20,0.14860230045177653,,morton_sort,,,0.875,20000,,,,,0,,stable_partition,,,
0.0037351250066421926,,0.0,,1.033374676106201,,,,,hotspot_tail,,,,,,1.0,,16,20,0.3519437246804465,,principal_sort,,,0.875,20000,,,,,0,,stable_partition,,,
9.600000339560211e-05,,0.013252042001113296,,0.4371507264113303,,,,,hotspot_tail,,,,,,2.5,,32,40,0.02655716980295611,,rdt_stable,,,0.1252,20000,,,,,0,,stable_partition,,,
0.0036175419809296727,,0.0,,1.2667694952997353,,,,,hotspot_tail,,,,,,1.1,,32,40,0.9984877673327451,,modulo_hash,,,0.79745,20000,,,,,0,,stable_partition,,,
