assign_seconds,build_seconds,combined_score_lower_is_better,dataset,imbalance_k2,k1,k2,locality_k2,method,movement,n,python_peak_memory_kib,seed
8.91250092536211e-05,0.009593041992047802,0.2006099961775484,uniform,1.252,16,20,0.05513332483899645,rdt_stable,0.1254,5000,26721.9443359375,0
0.0014324579969979823,0.0,1.2627830805262907,uniform,1.096,16,20,0.996406845613979,modulo_hash,0.7952,5000,26721.9443359375,0
0.08408874997985549,0.0,0.6754911128118343,uniform,1.168,16,20,0.9957580284707428,jump_hash,0.1938,5000,26721.9443359375,0
0.45254237498738803,0.0,0.6619657514140328,uniform,1.088,16,20,0.995035003142295,rendezvous_hash,0.1966,5000,26721.9443359375,0
0.05470387497916818,0.0,0.7347518591328752,uniform,1.32,16,20,0.9967819091841671,virtual_node_hash,0.2222,5000,26721.9443359375,0
0.0005876659997738898,0.0,0.9308669621293487,uniform,1.136,16,20,0.05081547139855265,grid,0.8808,5000,26721.9443359375,0
0.0019171670137438923,0.0,0.9273029127949148,uniform,1.0,16,20,0.11578425065536636,morton_sort,0.8752,5000,26721.9443359375,0
0.21324504099902697,0.0,0.904971372808269,uniform,1.0,16,20,0.06615860624059793,hilbert_sort,0.8752,5000,26721.9443359375,0
0.0017766249948181212,0.0,1.0871886791723389,uniform,1.0,16,20,0.47108595371630857,principal_sort,0.8752,5000,26721.9443359375,0
0.08584583300398663,0.0,1.0914966097413707,uniform,1.0,16,20,0.4806591327586015,h3_sort,0.8752,5000,26721.9443359375,0
0.34563645799062215,0.0,0.9492769887178356,uniform,1.0,16,20,0.16461553048407931,s2_sort,0.8752,5000,26721.9443359375,0
0.6694257500057574,0.0,0.9291628546653632,uniform,1.0,16,20,0.11991745481191812,geohash_sort,0.8752,5000,26721.9443359375,0
8.99170117918402e-05,0.011071749991970137,0.28287824761521174,clustered,1.252,16,20,0.02995166136713718,rdt_stable,0.219,5000,26853.0400390625,0
0.001009208004688844,0.0,1.2628868872524546,clustered,1.096,16,20,0.9966375272276766,modulo_hash,0.7952,5000,26853.0400390625,0
0.08346424999763258,0.0,0.6761318269492776,clustered,1.168,16,20,0.9971818376650614,jump_hash,0.1938,5000,26853.0400390625,0
0.46508504200028256,0.0,0.6629925777611257,clustered,1.088,16,20,0.9973168394691682,rendezvous_hash,0.1966,5000,26853.0400390625,0
0.0556242500024382,0.0,0.7343486636703103,clustered,1.32,16,20,0.9958859192673559,virtual_node_hash,0.2222,5000,26853.0400390625,0
0.0005760000203736126,0.0,1.2545935866172133,clustered,3.4776,16,20,0.021941303593807797,grid,0.7492,5000,26853.0400390625,0
0.0014367080002557486,0.0,0.9027608915393248,clustered,1.0,16,20,0.06124642564294401,morton_sort,0.8752,5000,26853.0400390625,0
0.2089027089823503,0.0,0.9088761252801756,clustered,1.0,16,20,0.07483583395594591,hilbert_sort,0.8752,5000,26853.0400390625,0
0.001065291988197714,0.0,0.9094344587516641,clustered,1.0,16,20,0.07607657500369788,principal_sort,0.8752,5000,26853.0400390625,0
0.02821833299822174,0.0,0.9760252389428632,clustered,1.0,16,20,0.2240560865396961,h3_sort,0.8752,5000,26853.0400390625,0
0.3478769169887528,0.0,0.9451705994701657,clustered,1.0,16,20,0.15549022104481267,s2_sort,0.8752,5000,26853.0400390625,0
0.033748957997886464,0.0,0.9232887854386496,clustered,1.0,16,20,0.10686396764144343,geohash_sort,0.8752,5000,26853.0400390625,0
7.641600677743554e-05,0.009254207980120555,0.178405585041508,diagonal,1.252,16,20,0.006234633425573334,rdt_stable,0.1252,5000,26866.015625,0
0.0010148330184165388,0.0,1.2624879422899886,diagonal,1.096,16,20,0.995750982866641,modulo_hash,0.7952,5000,26866.015625,0
0.08142799997585826,0.0,0.675775998547117,diagonal,1.168,16,20,0.9963911078824822,jump_hash,0.1938,5000,26866.015625,0
0.4548869160062168,0.0,0.6627085364907734,diagonal,1.088,16,20,0.996685636646163,rendezvous_hash,0.1966,5000,26866.015625,0
0.05520054101361893,0.0,0.7352600689874439,diagonal,1.32,16,20,0.9979112644165418,virtual_node_hash,0.2222,5000,26866.015625,0
0.0005743330111727118,0.0,1.0129682052549578,diagonal,2.09,16,20,0.02837378945546152,grid,0.7822,5000,26866.015625,0
0.0012796669907402247,0.0,0.8773191262195612,diagonal,1.0,16,20,0.004709169376802821,morton_sort,0.8752,5000,26866.015625,0
0.19718695798655972,0.0,0.8899083976557107,diagonal,1.0,16,20,0.03268532812380156,hilbert_sort,0.8752,5000,26866.015625,0
0.0011348339903634042,0.0,0.877131305999795,diagonal,1.0,16,20,0.004291791110655661,principal_sort,0.8752,5000,26866.015625,0
0.029532791988458484,0.0,0.8818561429728828,diagonal,1.0,16,20,0.01479142882862864,h3_sort,0.8752,5000,26866.015625,0
0.34351616699132137,0.0,0.8995936528893492,diagonal,1.0,16,20,0.05420811753188728,s2_sort,0.8752,5000,26866.015625,0
0.03573337499983609,0.0,0.8772991429419993,diagonal,1.0,16,20,0.004664762093331838,geohash_sort,0.8752,5000,26866.015625,0
8.22500151116401e-05,0.010060250002425164,0.20071473596831838,uniform,1.252,16,20,0.0558105243740408,rdt_stable,0.1252,5000,26873.6484375,1
0.0010123749962076545,0.0,1.2627527023317406,uniform,1.096,16,20,0.9963393385149789,modulo_hash,0.7952,5000,26873.6484375,1
0.08240362501237541,0.0,0.6756703249912273,uniform,1.168,16,20,0.9961562777582829,jump_hash,0.1938,5000,26873.6484375,1
0.5251074579718988,0.0,0.6624213891272491,uniform,1.088,16,20,0.9960475313938868,rendezvous_hash,0.1966,5000,26873.6484375,1
0.055902041000081226,0.0,0.73528923651021,uniform,1.32,16,20,0.9979760811338,virtual_node_hash,0.2222,5000,26873.6484375,1
0.0005862910184077919,0.0,0.928590860882498,uniform,1.168,16,20,0.05064635751666232,grid,0.8722,5000,26873.6484375,1
0.0012994589924346656,0.0,0.9357383411877708,uniform,1.0,16,20,0.13452964708393508,morton_sort,0.8752,5000,26873.6484375,1
0.20297316598589532,0.0,0.905249208321317,uniform,1.0,16,20,0.06677601849181543,hilbert_sort,0.8752,5000,26873.6484375,1
0.0010341669840272516,0.0,1.0830947366318597,uniform,1.0,16,20,0.461988303626355,principal_sort,0.8752,5000,26873.6484375,1
0.02737174998037517,0.0,1.0895197931059932,uniform,1.0,16,20,0.4762662069022074,h3_sort,0.8752,5000,26873.6484375,1
0.3299855410004966,0.0,0.9542671835969834,uniform,1.0,16,20,0.17570485243774098,s2_sort,0.8752,5000,26873.6484375,1
0.033554166002431884,0.0,0.9212286666702013,uniform,1.0,16,20,0.1022859259337807,geohash_sort,0.8752,5000,26873.6484375,1
0.00011258400627411902,0.00897024999721907,0.2830986507270069,clustered,1.252,16,20,0.030441446060015285,rdt_stable,0.219,5000,26875.4375,1
0.001011707994621247,0.0,1.2629271088163767,clustered,1.096,16,20,0.9967269084808368,modulo_hash,0.7952,5000,26875.4375,1
0.09439474999089725,0.0,0.6758221618978568,clustered,1.168,16,20,0.9964936931063486,jump_hash,0.1938,5000,26875.4375,1
