budget,centered_discrepancy,combined_score_lower_is_better,composite_score,compressed_bytes,corpus,coverage_entropy,dataset,delay_minutes,detected,discovered_bug_classes,false_positives_before_first_window,field,imbalance_k2,input_bytes,k1,k2,locality_k2,mean_residual,method,min_grid_coverage,movement,ratio,roundtrip_ok,runtime_seconds,seed,selected_count,suite,threshold,top_recall,total_hits
,,,0.676782921760156,,,0.6256297764575885,,,,,,synthetic_sharp_front,,,,,,0.6060827147684072,top_residual_gradient,0.25,,,,0.00022162499953992665,0,384,residual_sampler_ablation,,0.90625,
,,,0.73568893836034,,,0.6385755381724,,,,,,synthetic_two_hotspots,,,,,,0.455478068972159,rdt_default,1.0,,,,0.007891250017564744,0,384,residual_sampler_ablation,,0.69375,
,,,0.7415277051000662,,,0.6351684431430465,,,,,,synthetic_two_hotspots,,,,,,0.4627154672881629,rdt_no_gradient,1.0,,,,0.0077636670030187815,0,384,residual_sampler_ablation,,0.709375,
,,,0.5518736268266404,,,0.4107103623618298,,,,,,synthetic_two_hotspots,,,,,,0.5592330070460788,rdt_no_coverage,0.15625,,,,0.00591154201538302,0,384,residual_sampler_ablation,,0.8375,
,,,0.7208492291546178,,,0.793051369013194,,,,,,synthetic_two_hotspots,,,,,,0.3489885248804121,rdt_high_coverage,1.0,,,,0.007601666991831735,0,384,residual_sampler_ablation,,0.540625,
,,,0.7759669917007139,,,0.6612449762877544,,,,,,synthetic_two_hotspots,,,,,,0.4821669603117639,rdt_tuned,1.0,,,,0.08778966698446311,0,384,residual_sampler_ablation,,0.765625,
,,,0.6380687663207585,,,0.45698218948788155,,,,,,synthetic_two_hotspots,,,,,,0.5996163672404078,top_residual,0.140625,,,,0.0002494580112397671,0,384,residual_sampler_ablation,,1.0,
,,,0.6376397357129194,,,0.4557563877511985,,,,,,synthetic_two_hotspots,,,,,,0.5991395160029744,top_residual_gradient,0.140625,,,,0.00026637502014636993,0,384,residual_sampler_ablation,,1.0,
,,,0.5625462142024822,,,0.638078469149949,,,,,,synthetic_oscillatory,,,,,,0.6580802711322048,rdt_default,1.0,,,,0.007596832991112024,0,384,residual_sampler_ablation,,0.309375,
,,,0.5611399642024821,,,0.638078469149949,,,,,,synthetic_oscillatory,,,,,,0.6565386504418532,rdt_no_gradient,1.0,,,,0.007739541004411876,0,384,residual_sampler_ablation,,0.30625,
,,,0.32406112682664034,,,0.41071036236182973,,,,,,synthetic_oscillatory,,,,,,0.7005416583947692,rdt_no_coverage,0.15625,,,,0.0058065420016646385,0,384,residual_sampler_ablation,,0.33125,
,,,0.6038529944388447,,,0.7922585555395565,,,,,,synthetic_oscillatory,,,,,,0.6026172869218399,rdt_high_coverage,1.0,,,,0.007781874999636784,0,384,residual_sampler_ablation,,0.28125,
,,,0.6366111332114973,,,0.7702282377471351,,,,,,synthetic_oscillatory,,,,,,0.6612954523760767,rdt_tuned,0.984375,,,,0.08770158400875516,0,384,residual_sampler_ablation,,0.378125,
,,,0.8895878315442729,,,0.8452509472693509,,,,,,synthetic_oscillatory,,,,,,0.820343478636266,top_residual,0.71875,,,,0.0002910829789470881,0,384,residual_sampler_ablation,,1.0,
,,,0.6204186576079853,,,0.8458390217371007,,,,,,synthetic_oscillatory,,,,,,0.7695326155234584,top_residual_gradient,0.75,,,,0.0002856670180335641,0,384,residual_sampler_ablation,,0.3875,
,,,0.2957195582776829,,,0.4879778077036789,,,,,,real_california_housing_residual,,,,,,0.1699728985286346,rdt_default,0.421875,,,,0.017495584004791453,0,512,residual_sampler_ablation,,0.09011627906976744,
,,,0.2803312436432038,,,0.4602072077513463,,,,,,real_california_housing_residual,,,,,,0.14801617614750787,rdt_no_gradient,0.421875,,,,0.017189040983794257,0,512,residual_sampler_ablation,,0.07751937984496124,
,,,0.24119459356152703,,,0.4434878752920706,,,,,,real_california_housing_residual,,,,,,0.18412066378636355,rdt_no_coverage,0.203125,,,,0.012605583993718028,0,512,residual_sampler_ablation,,0.10077519379844961,
,,,0.2980249995107511,,,0.5099302311602856,,,,,,real_california_housing_residual,,,,,,0.16137234981939153,rdt_high_coverage,0.390625,,,,0.01780970799154602,0,512,residual_sampler_ablation,,0.09205426356589147,
,,,0.2838888962791163,,,0.41513937142870433,,,,,,real_california_housing_residual,,,,,,0.2106058829546837,rdt_tuned,0.359375,,,,0.19906729200738482,0,512,residual_sampler_ablation,,0.14825581395348839,
,,,0.4595528254681441,,,0.487634318613302,,,,,,real_california_housing_residual,,,,,,0.48405373229624393,top_residual,0.328125,,,,0.0011334999871905893,0,512,residual_sampler_ablation,,0.49612403100775193,
,,,0.43589812238852765,,,0.45431025001373343,,,,,,real_california_housing_residual,,,,,,0.4713410069785329,top_residual_gradient,0.28125,,,,0.001160457992227748,0,512,residual_sampler_ablation,,0.4903100775193798,
768,0.11514596455689292,,,,,,,,,5,,,,,,,,,rdt_full,,,,,0.007080124982167035,0,,coverage_ablation,,,74
768,0.028471116793153717,,,,,,,,,5,,,,,,,,,rdt_hybrid_sobol,,,,,0.009163125010672957,0,,coverage_ablation,,,67
768,0.0007168494821619928,,,,,,,,,3,,,,,,,,,rdt_boundaries_only,,,,,0.00019912500283680856,0,,coverage_ablation,,,46
768,0.0013877408337615344,,,,,,,,,4,,,,,,,,,rdt_powers_only,,,,,0.00013308398774825037,0,,coverage_ablation,,,91
768,0.0009128140551697513,,,,,,,,,3,,,,,,,,,rdt_midpoints_only,,,,,0.0001318749855272472,0,,coverage_ablation,,,64
768,1.9013732149078069e-06,,,,,,,,,2,,,,,,,,,sobol,,,,,0.00022024998906999826,0,,coverage_ablation,,,35
768,0.0007020742583418351,,,,,,,,,2,,,,,,,,,random_uniform,,,,,3.274998744018376e-05,0,,coverage_ablation,,,42
,,,,,,,real_nab_ambient,,False,,0,,,,,,,,rdt_raw_abs_shell,,,,,,0,,drift_ablation,0.015563027213417294,,
,,,,,,,real_nab_ambient,9300.0,True,,2,,,,,,,,rdt_standard_abs_shell,,,,,,0,,drift_ablation,0.15762867541569608,,
,,,,,,,real_nab_ambient,9300.0,True,,2,,,,,,,,rdt_standard_signed_shell,,,,,,0,,drift_ablation,0.29881317655261436,,
,,,,,,,real_nab_ambient,,False,,2,,,,,,,,histogram_js,,,,,,0,,drift_ablation,0.34672217455392657,,
,,,,,,,real_nab_ambient,13140.0,True,,2,,,,,,,,mean_std,,,,,,0,,drift_ablation,2.6161173861725726,,
,,,,,,,real_nab_ambient,,False,,2,,,,,,,,entropy_delta,,,,,,0,,drift_ablation,0.6151432370680079,,
,,,,,,,synthetic_variance_shift,5700.0,True,,1,,,,,,,,rdt_raw_abs_shell,,,,,,0,,drift_ablation,0.015574034381049514,,
,,,,,,,synthetic_variance_shift,900.0,True,,1,,,,,,,,rdt_standard_abs_shell,,,,,,0,,drift_ablation,0.012511695688914873,,
,,,,,,,synthetic_variance_shift,900.0,True,,1,,,,,,,,rdt_standard_signed_shell,,,,,,0,,drift_ablation,0.02070116901863596,,
,,,,,,,synthetic_variance_shift,5700.0,True,,1,,,,,,,,histogram_js,,,,,,0,,drift_ablation,0.028343723832501663,,
,,,,,,,synthetic_variance_shift,900.0,True,,1,,,,,,,,mean_std,,,,,,0,,drift_ablation,0.24445260500557348,,
,,,,,,,synthetic_variance_shift,1860.0,True,,1,,,,,,,,entropy_delta,,,,,,0,,drift_ablation,0.12697730968641838,,
,,,,408,synthetic_ramp,,,,,,,,,16384,,,,,zlib,,,40.15686274509804,True,8.562501170672476e-05,0,,codec_ablation,,,
,,,,723,synthetic_ramp,,,,,,,,,16384,,,,,bz2,,,22.661134163208853,True,0.00188433300354518,0,,codec_ablation,,,
,,,,352,synthetic_ramp,,,,,,,,,16384,,,,,lzma,,,46.54545454545455,True,0.0017426249978598207,0,,codec_ablation,,,
,,,,51,synthetic_ramp,,,,,,,,,16384,,,,,rdt_delta_zlib,,,321.2549019607843,True,0.0015199589834082872,0,,codec_ablation,,,
,,,,57,synthetic_ramp,,,,,,,,,16384,,,,,adaptive_rdt_zlib,,,287.43859649122805,True,0.001505749998614192,0,,codec_ablation,,,
,,,,16395,synthetic_random,,,,,,,,,16384,,,,,zlib,,,0.9993290637389448,True,0.0001646250020712614,0,,codec_ablation,,,
,,,,16848,synthetic_random,,,,,,,,,16384,,,,,bz2,,,0.9724596391263058,True,0.0025845830095931888,0,,codec_ablation,,,
,,,,16444,synthetic_random,,,,,,,,,16384,,,,,lzma,,,0.9963512527365604,True,0.003333000000566244,0,,codec_ablation,,,
,,,,16404,synthetic_random,,,,,,,,,16384,,,,,rdt_delta_zlib,,,0.9987807851743478,True,0.0018142909975722432,0,,codec_ablation,,,
,,,,16401,synthetic_random,,,,,,,,,16384,,,,,adaptive_rdt_zlib,,,0.9989634778367172,True,0.001215875003254041,0,,codec_ablation,,,
,,,,53577,real_gutenberg_alice,,,,,,,,,151191,,,,,zlib,,,2.821938518394087,True,0.0061015420069452375,0,,codec_ablation,,,
,,,,42743,real_gutenberg_alice,,,,,,,,,151191,,,,,bz2,,,3.5372107713543737,True,0.011276582983555272,0,,codec_ablation,,,
,,,,47636,real_gutenberg_alice,,,,,,,,,151191,,,,,lzma,,,3.173881098328995,True,0.03163645800668746,0,,codec_ablation,,,
,,,,65492,real_gutenberg_alice,,,,,,,,,151191,,,,,rdt_delta_zlib,,,2.308541501252061,True,0.018703792011365294,0,,codec_ablation,,,
,,,,53583,real_gutenberg_alice,,,,,,,,,151191,,,,,adaptive_rdt_zlib,,,2.8216225295336206,True,0.016868083010194823,0,,codec_ablation,,,
,,0.20017264466507956,,,,,synthetic_uniform,,,,,,1.25,,16,20,0.05549476592239899,,rdt_stable_labels,,0.1252,,,,1,,stable_partition_ablation,,,
,,0.7624726446650796,,,,,synthetic_uniform,,,,,,1.25,,16,20,0.05549476592239899,,rdt_remap_centroid_labels,,0.6875,,,,1,,stable_partition_ablation,,,
,,0.659676797983247,,,,,synthetic_uniform,,,,,,1.072,,16,20,0.9975039955183267,,jump_hash,,0.1964,,,,1,,stable_partition_ablation,,,
,,0.9170187524526369,,,,,synthetic_uniform,,,,,,1.0,,16,20,0.09337500545030405,,morton_equal_chunks,,0.875,,,,1,,stable_partition_ablation,,,
,,0.18316017219893102,,,,,synthetic_uniform,,,,,,1.256,,64,80,0.013689271553180038,,rdt_stable_labels,,0.1258,,,,1,,stable_partition_ablation,,,
,,1.026160172198931,,,,,synthetic_uniform,,,,,,1.256,,64,80,0.013689271553180038,,rdt_remap_centroid_labels,,0.9688,,,,1,,stable_partition_ablation,,,
,,0.6935356682294427,,,,,synthetic_uniform,,,,,,1.208,,64,80,0.9925237071765393,,jump_hash,,0.2053,,,,1,,stable_partition_ablation,,,
,,0.9852132142829748,,,,,synthetic_uniform,,,,,,1.0,,64,80,0.036251587295499724,,morton_equal_chunks,,0.9689,,,,1,,stable_partition_ablation,,,
,,0.28252792693303347,,,,,synthetic_clustered,,,,,,1.25,,16,20,0.030506504295629896,,rdt_stable_labels,,0.2188,,,,1,,stable_partition_ablation,,,
,,1.0012279269330335,,,,,synthetic_clustered,,,,,,1.25,,16,20,0.030506504295629896,,rdt_remap_centroid_labels,,0.9375,,,,1,,stable_partition_ablation,,,
,,0.6600136582550274,,,,,synthetic_clustered,,,,,,1.072,,16,20,0.9982525739000612,,jump_hash,,0.1964,,,,1,,stable_partition_ablation,,,
,,0.9020345451984554,,,,,synthetic_clustered,,,,,,1.0,,16,20,0.06007676710767873,,morton_equal_chunks,,0.875,,,,1,,stable_partition_ablation,,,
,,0.4442278976248749,,,,,synthetic_clustered,,,,,,2.504,,64,80,0.00583977249972198,,rdt_stable_labels,,0.1408,,,,1,,stable_partition_ablation,,,
,,1.287827897624875,,,,,synthetic_clustered,,,,,,2.504,,64,80,0.00583977249972198,,rdt_remap_centroid_labels,,0.9844,,,,1,,stable_partition_ablation,,,
,,0.6929596336398022,,,,,synthetic_clustered,,,,,,1.208,,64,80,0.9912436303106716,,jump_hash,,0.2053,,,,1,,stable_partition_ablation,,,
,,0.9750948833328202,,,,,synthetic_clustered,,,,,,1.0,,64,80,0.013766407406267146,,morton_equal_chunks,,0.9689,,,,1,,stable_partition_ablation,,,
,,0.43859387206061873,,,,,real_california_housing,,,,,,2.5,,16,20,0.030208604579152573,,rdt_stable_labels,,0.125,,,,1,,stable_partition_ablation,,,
,,1.2198438720606188,,,,,real_california_housing,,,,,,2.5,,16,20,0.030208604579152573,,rdt_remap_centroid_labels,,0.90625,,,,1,,stable_partition_ablation,,,
,,0.6583127499617462,,,,,real_california_housing,,,,,,1.0397286821705427,,16,20,0.9992005985368692,,jump_hash,,0.20072674418604652,,,,1,,stable_partition_ablation,,,
,,0.9195467373002034,,,,,real_california_housing,,,,,,1.0,,16,20,0.0989927495560075,,morton_equal_chunks,,0.875,,,,1,,stable_partition_ablation,,,
,,0.46405880409266576,,,,,real_california_housing,,,,,,2.5,,64,80,0.007878307113761902,,rdt_stable_labels,,0.16051356589147286,,,,1,,stable_partition_ablation,,,
,,1.2762196568058441,,,,,real_california_housing,,,,,,2.5,,64,80,0.007878307113761902,,rdt_remap_centroid_labels,,0.9726744186046512,,,,1,,stable_partition_ablation,,,
,,0.6789866299461108,,,,,real_california_housing,,,,,,1.1356589147286822,,64,80,0.9964776100438981,,jump_hash,,0.20343992248062015,,,,1,,stable_partition_ablation,,,
,,0.9830178605281161,,,,,real_california_housing,,,,,,1.0,,64,80,0.03159869092380672,,morton_equal_chunks,,0.9687984496124031,,,,1,,stable_partition_ablation,,,
,,,0.667414595701485,,,0.6363631305756715,,,,,,synthetic_sharp_front,,,,,,0.38323352673972483,rdt_default,1.0,,,,0.00783737498568371,1,384,residual_sampler_ablation,,0.54375,
