assign_seconds,build_seconds,dataset,imbalance,imbalance_weight,k1,k2,locality,locality_weight,method,movement,movement_vs_k1,n,score,seed,suite,total_seconds,winner
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.0,16,20,0.05611365050995765,0.1,rdt_stable,0.1252,,,0.13081136505099578,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.0,16,20,0.9980884375077088,0.1,jump_hash,0.1964,,,0.2962088437507709,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.0,16,20,0.11771336844132929,0.1,morton_sort,0.875,,,0.8867713368441329,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.0,16,20,0.05139030434252689,0.1,grid,0.8816,,,0.8867390304342527,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.1,16,20,0.05611365050995765,0.1,rdt_stable,0.1252,,,0.15581136505099577,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.1,16,20,0.9980884375077088,0.1,jump_hash,0.1964,,,0.3034088437507709,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.1,16,20,0.11771336844132929,0.1,morton_sort,0.875,,,0.8867713368441329,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.1,16,20,0.05139030434252689,0.1,grid,0.8816,,,0.8945390304342528,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.2,16,20,0.05611365050995765,0.1,rdt_stable,0.1252,,,0.18081136505099576,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.2,16,20,0.9980884375077088,0.1,jump_hash,0.1964,,,0.3106088437507709,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.2,16,20,0.11771336844132929,0.1,morton_sort,0.875,,,0.8867713368441329,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.2,16,20,0.05139030434252689,0.1,grid,0.8816,,,0.9023390304342528,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.5,16,20,0.05611365050995765,0.1,rdt_stable,0.1252,,,0.2558113650509958,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.5,16,20,0.9980884375077088,0.1,jump_hash,0.1964,,,0.3322088437507709,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.5,16,20,0.11771336844132929,0.1,morton_sort,0.875,,,0.8867713368441329,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.5,16,20,0.05139030434252689,0.1,grid,0.8816,,,0.9257390304342528,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.0,16,20,0.05611365050995765,0.25,rdt_stable,0.1252,,,0.13922841262748942,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.0,16,20,0.9980884375077088,0.25,jump_hash,0.1964,,,0.4459221093769272,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.0,16,20,0.11771336844132929,0.25,morton_sort,0.875,,,0.9044283421103323,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.0,16,20,0.05139030434252689,0.25,grid,0.8816,,,0.8944475760856317,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.1,16,20,0.05611365050995765,0.25,rdt_stable,0.1252,,,0.1642284126274894,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.1,16,20,0.9980884375077088,0.25,jump_hash,0.1964,,,0.4531221093769272,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.1,16,20,0.11771336844132929,0.25,morton_sort,0.875,,,0.9044283421103323,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.1,16,20,0.05139030434252689,0.25,grid,0.8816,,,0.9022475760856318,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.2,16,20,0.05611365050995765,0.25,rdt_stable,0.1252,,,0.1892284126274894,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.2,16,20,0.9980884375077088,0.25,jump_hash,0.1964,,,0.46032210937692725,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.2,16,20,0.11771336844132929,0.25,morton_sort,0.875,,,0.9044283421103323,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.2,16,20,0.05139030434252689,0.25,grid,0.8816,,,0.9100475760856318,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.5,16,20,0.05611365050995765,0.25,rdt_stable,0.1252,,,0.2642284126274894,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.5,16,20,0.9980884375077088,0.25,jump_hash,0.1964,,,0.48192210937692725,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.5,16,20,0.11771336844132929,0.25,morton_sort,0.875,,,0.9044283421103323,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.5,16,20,0.05139030434252689,0.25,grid,0.8816,,,0.9334475760856318,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.0,16,20,0.05611365050995765,0.45,rdt_stable,0.1252,,,0.15045114272948096,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.0,16,20,0.9980884375077088,0.45,jump_hash,0.1964,,,0.645539796878469,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.0,16,20,0.11771336844132929,0.45,morton_sort,0.875,,,0.9279710157985982,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.0,16,20,0.05139030434252689,0.45,grid,0.8816,,,0.9047256369541371,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.1,16,20,0.05611365050995765,0.45,rdt_stable,0.1252,,,0.17545114272948095,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.1,16,20,0.9980884375077088,0.45,jump_hash,0.1964,,,0.652739796878469,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.1,16,20,0.11771336844132929,0.45,morton_sort,0.875,,,0.9279710157985982,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.1,16,20,0.05139030434252689,0.45,grid,0.8816,,,0.9125256369541371,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.2,16,20,0.05611365050995765,0.45,rdt_stable,0.1252,,,0.20045114272948095,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.2,16,20,0.9980884375077088,0.45,jump_hash,0.1964,,,0.6599397968784689,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.2,16,20,0.11771336844132929,0.45,morton_sort,0.875,,,0.9279710157985982,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.2,16,20,0.05139030434252689,0.45,grid,0.8816,,,0.9203256369541372,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.5,16,20,0.05611365050995765,0.45,rdt_stable,0.1252,,,0.27545114272948096,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.5,16,20,0.9980884375077088,0.45,jump_hash,0.1964,,,0.681539796878469,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.5,16,20,0.11771336844132929,0.45,morton_sort,0.875,,,0.9279710157985982,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.5,16,20,0.05139030434252689,0.45,grid,0.8816,,,0.9437256369541371,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.0,16,20,0.05611365050995765,1.0,rdt_stable,0.1252,,,0.18131365050995765,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.0,16,20,0.9980884375077088,1.0,jump_hash,0.1964,,,1.1944884375077087,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.0,16,20,0.11771336844132929,1.0,morton_sort,0.875,,,0.9927133684413293,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.0,16,20,0.05139030434252689,1.0,grid,0.8816,,,0.9329903043425269,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.1,16,20,0.05611365050995765,1.0,rdt_stable,0.1252,,,0.20631365050995765,0,score_weight_sensitivity,,True
0.020719957974506542,0.0,synthetic_uniform,1.072,0.1,16,20,0.9980884375077088,1.0,jump_hash,0.1964,,,1.2016884375077088,0,score_weight_sensitivity,,False
0.002152500004740432,0.0,synthetic_uniform,1.0,0.1,16,20,0.11771336844132929,1.0,morton_sort,0.875,,,0.9927133684413293,0,score_weight_sensitivity,,False
0.000864041008753702,0.0,synthetic_uniform,1.078,0.1,16,20,0.05139030434252689,1.0,grid,0.8816,,,0.940790304342527,0,score_weight_sensitivity,,False
6.745802238583565e-05,0.009410541999386624,synthetic_uniform,1.25,0.2,16,20,0.05611365050995765,1.0,rdt_stable,0.1252,,,0.23131365050995767,0,score_weight_sensitivity,,True
